Date,Open,High,Low,Close,Voulume
2016. 11. 25 오후 4:00:00,5388.49,5398.92,5379.28,5398.92,
2016. 11. 28 오후 4:00:00,5387.92,5396.27,5364.91,5368.81,
2016. 11. 29 오후 4:00:00,5370.98,5403.86,5360.56,5379.92,
2016. 11. 30 오후 4:00:00,5391.35,5393.15,5323.68,5323.68,
2016. 12. 1 오후 4:00:00,5323.88,5326.34,5238.21,5251.11,
2016. 12. 2 오후 4:00:00,5249.02,5274.54,5239.27,5255.65,
2016. 12. 5 오후 4:00:00,5283.58,5321.09,5269.57,5308.89,
2016. 12. 6 오후 4:00:00,5317.74,5333.99,5299.94,5333,
2016. 12. 7 오후 4:00:00,5322.67,5397.93,5307.31,5393.76,
2016. 12. 8 오후 4:00:00,5394.15,5425.52,5389.1,5417.36,
2016. 12. 9 오후 4:00:00,5436.11,5450.16,5427.12,5444.5,
2016. 12. 12 오후 4:00:00,5428.22,5434.9,5394.42,5412.54,
2016. 12. 13 오후 4:00:00,5433.57,5486.75,5430.72,5463.83,
2016. 12. 14 오후 4:00:00,5465.69,5476.25,5425.73,5436.67,
2016. 12. 15 오후 4:00:00,5443.51,5485.12,5439.39,5456.85,
2016. 12. 16 오후 4:00:00,5467.82,5474.58,5426.01,5437.16,
2016. 12. 19 오후 4:00:00,5441.2,5483.42,5436.54,5457.44,
2016. 12. 20 오후 4:00:00,5473.53,5489.47,5471.71,5483.94,
2016. 12. 21 오후 4:00:00,5482.63,5486.26,5465.31,5471.43,
2016. 12. 22 오후 4:00:00,5472.01,5472.01,5432.77,5447.42,
2016. 12. 23 오후 4:00:00,5441.76,5462.69,5441.76,5462.69,
2016. 12. 27 오후 4:00:00,5470.76,5512.37,5469.61,5487.44,
2016. 12. 28 오후 4:00:00,5497.44,5498.91,5434.7,5438.56,
2016. 12. 29 오후 4:00:00,5437.51,5450.63,5415.18,5432.09,
2016. 12. 30 오후 4:00:00,5440.17,5441.9,5371.89,5383.12,
2017. 1. 3 오후 4:00:00,5425.62,5452.57,5397.99,5429.08,
2017. 1. 4 오후 4:00:00,5440.91,5482.35,5440.24,5477,
2017. 1. 5 오후 4:00:00,5474.39,5495.85,5464.36,5487.94,
2017. 1. 6 오후 4:00:00,5499.08,5536.52,5482.81,5521.06,
2017. 1. 9 오후 4:00:00,5527.58,5541.08,5517.14,5531.82,
2017. 1. 10 오후 4:00:00,5536.54,5564.25,5528.11,5551.82,
2017. 1. 11 오후 4:00:00,5550.72,5564.08,5524.03,5563.65,
2017. 1. 12 오후 4:00:00,5542.56,5550.67,5496.82,5547.49,
2017. 1. 13 오후 4:00:00,5557.57,5584.26,5557.2,5574.12,
2017. 1. 17 오후 4:00:00,5555.16,5557.05,5527.22,5538.73,
2017. 1. 18 오후 4:00:00,5546.94,5555.98,5534.77,5555.65,
2017. 1. 19 오후 4:00:00,5560.61,5571.53,5528.37,5540.08,
2017. 1. 20 오후 4:00:00,5556.87,5574.35,5542.23,5555.33,
2017. 1. 23 오후 4:00:00,5546.64,5564.14,5522.69,5552.94,
2017. 1. 24 오후 4:00:00,5568.27,5606.53,5558.49,5600.96,
2017. 1. 25 오후 4:00:00,5635.86,5658.59,5634.33,5656.34,
2017. 1. 26 오후 4:00:00,5666.28,5669.61,5647.65,5655.18,
